gab;file_1;file_2;sample_size;threshold;tm;tnm;fm;precision;recall;f1;detlta;t1;t2
trip-yelp;tripadvisor-a;yelp-e;5000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11808967590332031;1502319388.6109571;1502319388.7290468
trip-yelp;tripadvisor-a;yelp-e;5000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.1141207218170166;1502319388.7290468;1502319388.8431675
trip-yelp;tripadvisor-a;yelp-e;5000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.11760973930358887;1502319388.8431675;1502319388.9607773
trip-yelp;tripadvisor-a;yelp-e;5000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10581111907958984;1502319388.9607773;1502319389.0665884
trip-yelp;tripadvisor-a;yelp-e;5000;0.8;5;2;0;1.0;0.7142857142857143;0.8333333333333333;0.1071310043334961;1502319389.0665884;1502319389.1737194
trip-yelp;tripadvisor-a;yelp-e;5000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10111403465270996;1502319389.1737194;1502319389.2748334
trip-yelp;tripadvisor-b;yelp-a;100;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11663389205932617;1502319389.33658;1502319389.453214
trip-yelp;tripadvisor-b;yelp-a;100;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11607646942138672;1502319389.453214;1502319389.5692904
trip-yelp;tripadvisor-b;yelp-a;100;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.11365175247192383;1502319389.5692904;1502319389.6829422
trip-yelp;tripadvisor-b;yelp-a;100;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10413551330566406;1502319389.6829422;1502319389.7870777
trip-yelp;tripadvisor-b;yelp-a;100;0.8;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.1096959114074707;1502319389.7870777;1502319389.8967736
trip-yelp;tripadvisor-b;yelp-a;100;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10361719131469727;1502319389.8967736;1502319390.0003908
trip-yelp;tripadvisor-b;yelp-b;100;0.4;6;1;3;0.6666666666666666;0.8571428571428571;0.75;0.15670418739318848;1502319390.0214243;1502319390.1781285
trip-yelp;tripadvisor-b;yelp-b;100;0.5;6;1;3;0.6666666666666666;0.8571428571428571;0.75;0.1096198558807373;1502319390.1781285;1502319390.2877483
trip-yelp;tripadvisor-b;yelp-b;100;0.6;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11010432243347168;1502319390.288748;1502319390.3988523
trip-yelp;tripadvisor-b;yelp-b;100;0.7;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.11412215232849121;1502319390.3988523;1502319390.5129745
trip-yelp;tripadvisor-b;yelp-b;100;0.8;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.1646862030029297;1502319390.5129745;1502319390.6776607
trip-yelp;tripadvisor-b;yelp-b;100;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.1271207332611084;1502319390.6786635;1502319390.8057842
trip-yelp;tripadvisor-b;yelp-c;100;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11414241790771484;1502319390.826816;1502319390.9409585
trip-yelp;tripadvisor-b;yelp-c;100;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11356663703918457;1502319390.9409585;1502319391.0545251
trip-yelp;tripadvisor-b;yelp-c;100;0.6;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11066174507141113;1502319391.0545251;1502319391.165187
trip-yelp;tripadvisor-b;yelp-c;100;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10856413841247559;1502319391.1656873;1502319391.2742515
trip-yelp;tripadvisor-b;yelp-c;100;0.8;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.10709309577941895;1502319391.2747555;1502319391.3818486
trip-yelp;tripadvisor-b;yelp-c;100;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10110998153686523;1502319391.3818486;1502319391.4829586
trip-yelp;tripadvisor-b;yelp-d;100;0.4;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.16314697265625;1502319391.5049548;1502319391.6681018
trip-yelp;tripadvisor-b;yelp-d;100;0.5;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.11761474609375;1502319391.6681018;1502319391.7857165
trip-yelp;tripadvisor-b;yelp-d;100;0.6;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.1126399040222168;1502319391.7867184;1502319391.8993583
trip-yelp;tripadvisor-b;yelp-d;100;0.7;5;2;1;0.8333333333333334;0.7142857142857143;0.7692307692307692;0.1071174144744873;1502319391.8993583;1502319392.0064757
trip-yelp;tripadvisor-b;yelp-d;100;0.8;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.10808348655700684;1502319392.0064757;1502319392.1145592
trip-yelp;tripadvisor-b;yelp-d;100;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10107994079589844;1502319392.1155605;1502319392.2166405
trip-yelp;tripadvisor-b;yelp-e;100;0.4;6;1;3;0.6666666666666666;0.8571428571428571;0.75;0.15300893783569336;1502319392.2366533;1502319392.3896623
trip-yelp;tripadvisor-b;yelp-e;100;0.5;6;1;3;0.6666666666666666;0.8571428571428571;0.75;0.13113737106323242;1502319392.3906431;1502319392.5217805
trip-yelp;tripadvisor-b;yelp-e;100;0.6;6;1;3;0.6666666666666666;0.8571428571428571;0.75;0.11810994148254395;1502319392.5217805;1502319392.6398904
trip-yelp;tripadvisor-b;yelp-e;100;0.7;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.10968375205993652;1502319392.640891;1502319392.7505748
trip-yelp;tripadvisor-b;yelp-e;100;0.8;4;3;1;0.8;0.5714285714285714;0.6666666666666666;0.10411858558654785;1502319392.7505748;1502319392.8546934
trip-yelp;tripadvisor-b;yelp-e;100;0.9;3;4;1;0.75;0.42857142857142855;0.5454545454545454;0.10428333282470703;1502319392.8556945;1502319392.9599779
trip-yelp;tripadvisor-b;yelp-a;1000;0.4;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.12859845161437988;1502319393.004792;1502319393.1333904
trip-yelp;tripadvisor-b;yelp-a;1000;0.5;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.1471242904663086;1502319393.1333904;1502319393.2805147
trip-yelp;tripadvisor-b;yelp-a;1000;0.6;5;2;1;0.8333333333333334;0.7142857142857143;0.7692307692307692;0.11408710479736328;1502319393.2805147;1502319393.3946018
trip-yelp;tripadvisor-b;yelp-a;1000;0.7;5;2;0;1.0;0.7142857142857143;0.8333333333333333;0.10507917404174805;1502319393.3946018;1502319393.499681
trip-yelp;tripadvisor-b;yelp-a;1000;0.8;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.1090853214263916;1502319393.499681;1502319393.6087663
trip-yelp;tripadvisor-b;yelp-a;1000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10407876968383789;1502319393.6087663;1502319393.712845
trip-yelp;tripadvisor-b;yelp-b;1000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11712312698364258;1502319393.7328584;1502319393.8499815
trip-yelp;tripadvisor-b;yelp-b;1000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11661362648010254;1502319393.8499815;1502319393.9665952
trip-yelp;tripadvisor-b;yelp-b;1000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.1130983829498291;1502319393.9665952;1502319394.0796936
trip-yelp;tripadvisor-b;yelp-b;1000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.11208891868591309;1502319394.0801938;1502319394.1922827
trip-yelp;tripadvisor-b;yelp-b;1000;0.8;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.10407876968383789;1502319394.1922827;1502319394.2963614
trip-yelp;tripadvisor-b;yelp-b;1000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.1046149730682373;1502319394.2963614;1502319394.4009764
trip-yelp;tripadvisor-b;yelp-c;1000;0.4;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.11559367179870605;1502319394.4219909;1502319394.5375845
trip-yelp;tripadvisor-b;yelp-c;1000;0.5;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.11609029769897461;1502319394.5385845;1502319394.6546748
trip-yelp;tripadvisor-b;yelp-c;1000;0.6;5;2;1;0.8333333333333334;0.7142857142857143;0.7692307692307692;0.11209249496459961;1502319394.6546748;1502319394.7667673
trip-yelp;tripadvisor-b;yelp-c;1000;0.7;5;2;0;1.0;0.7142857142857143;0.8333333333333333;0.11461949348449707;1502319394.767268;1502319394.8818874
trip-yelp;tripadvisor-b;yelp-c;1000;0.8;3;4;0;1.0;0.42857142857142855;0.6;0.10408282279968262;1502319394.8818874;1502319394.9859703
trip-yelp;tripadvisor-b;yelp-c;1000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.09907770156860352;1502319394.9859703;1502319395.085048
trip-yelp;tripadvisor-b;yelp-d;1000;0.4;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.12162947654724121;1502319395.105061;1502319395.2266905
trip-yelp;tripadvisor-b;yelp-d;1000;0.5;5;2;2;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.1115884780883789;1502319395.2266905;1502319395.338279
trip-yelp;tripadvisor-b;yelp-d;1000;0.6;5;2;1;0.8333333333333334;0.7142857142857143;0.7692307692307692;0.11112093925476074;1502319395.338279;1502319395.4494
trip-yelp;tripadvisor-b;yelp-d;1000;0.7;5;2;0;1.0;0.7142857142857143;0.8333333333333333;0.11659502983093262;1502319395.4494;1502319395.565995
trip-yelp;tripadvisor-b;yelp-d;1000;0.8;4;3;0;1.0;0.5714285714285714;0.7272727272727273;0.10563349723815918;1502319395.565995;1502319395.6716285
trip-yelp;tripadvisor-b;yelp-d;1000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10257935523986816;1502319395.6721296;1502319395.774709
trip-yelp;tripadvisor-b;yelp-e;1000;0.4;5;2;4;0.5555555555555556;0.7142857142857143;0.6250000000000001;0.11762666702270508;1502319395.799373;1502319395.9169996
trip-yelp;tripadvisor-b;yelp-e;1000;0.5;5;2;4;0.5555555555555556;0.7142857142857143;0.6250000000000001;0.11307001113891602;1502319395.9169996;1502319396.0300696
trip-yelp;tripadvisor-b;yelp-e;1000;0.6;5;2;3;0.625;0.7142857142857143;0.6666666666666666;0.12164902687072754;1502319396.0300696;1502319396.1517186
trip-yelp;tripadvisor-b;yelp-e;1000;0.7;5;2;1;0.8333333333333334;0.7142857142857143;0.7692307692307692;0.10761833190917969;1502319396.1527195;1502319396.2603378
trip-yelp;tripadvisor-b;yelp-e;1000;0.8;3;4;1;0.75;0.42857142857142855;0.5454545454545454;0.1100921630859375;1502319396.2613194;1502319396.3714116
trip-yelp;tripadvisor-b;yelp-e;1000;0.9;3;4;1;0.75;0.42857142857142855;0.5454545454545454;0.10259747505187988;1502319396.3714116;1502319396.474009
trip-yelp;tripadvisor-b;yelp-a;10000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11462688446044922;1502319396.5162082;1502319396.630835
trip-yelp;tripadvisor-b;yelp-a;10000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11212396621704102;1502319396.630835;1502319396.742959
trip-yelp;tripadvisor-b;yelp-a;10000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.1441342830657959;1502319396.7439609;1502319396.8880951
trip-yelp;tripadvisor-b;yelp-a;10000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.1291337013244629;1502319396.8880951;1502319397.0172288
trip-yelp;tripadvisor-b;yelp-a;10000;0.8;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.1040964126586914;1502319397.0172288;1502319397.1213253
trip-yelp;tripadvisor-b;yelp-a;10000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10064077377319336;1502319397.1213253;1502319397.221966
trip-yelp;tripadvisor-b;yelp-b;10000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11662530899047852;1502319397.2429633;1502319397.3595886
trip-yelp;tripadvisor-b;yelp-b;10000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11261367797851562;1502319397.3595886;1502319397.4722023
trip-yelp;tripadvisor-b;yelp-b;10000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.1126255989074707;1502319397.4722023;1502319397.584828
trip-yelp;tripadvisor-b;yelp-b;10000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10863804817199707;1502319397.584828;1502319397.693466
trip-yelp;tripadvisor-b;yelp-b;10000;0.8;5;2;0;1.0;0.7142857142857143;0.8333333333333333;0.10560059547424316;1502319397.693466;1502319397.7990665
trip-yelp;tripadvisor-b;yelp-b;10000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10364890098571777;1502319397.7990665;1502319397.9027154
trip-yelp;tripadvisor-b;yelp-c;10000;0.4;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11614871025085449;1502319397.9227295;1502319398.0388782
trip-yelp;tripadvisor-b;yelp-c;10000;0.5;6;1;2;0.75;0.8571428571428571;0.7999999999999999;0.11060142517089844;1502319398.0388782;1502319398.1494796
trip-yelp;tripadvisor-b;yelp-c;10000;0.6;6;1;1;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.11311125755310059;1502319398.1494796;1502319398.262591
trip-yelp;tripadvisor-b;yelp-c;10000;0.7;6;1;0;1.0;0.8571428571428571;0.923076923076923;0.10908913612365723;1502319398.262591;1502319398.37168
trip-yelp;tripadvisor-b;yelp-c;10000;0.8;5;2;0;1.0;0.7142857142857143;0.8333333333333333;0.10411882400512695;1502319398.37168;1502319398.4757988
trip-yelp;tripadvisor-b;yelp-c;10000;0.9;3;4;0;1.0;0.42857142857142855;0.6;0.10809874534606934;1502319398.4757988;1502319398.5838976
